Tool,Operation,Trial,Time(s),User Time(s),System Time(s),Max Memory(KB)
cp,Copy,1,0:00.77,0.00,0.73,2804
cp,Copy,2,0:00.77,0.01,0.72,2792
cp,Copy,3,0:00.76,0.00,0.73,2796
cp,Copy,4,0:00.78,0.01,0.73,2840
cp,Copy,5,0:00.76,0.00,0.72,2736
cp,Copy,6,0:00.77,0.01,0.72,2804
cp,Copy,7,0:00.77,0.01,0.72,2792
cp,Copy,8,0:00.77,0.00,0.72,2832
cp,Copy,9,0:00.76,0.00,0.72,2604
cp,Copy,10,0:00.77,0.01,0.72,2588
io_uring cp,Copy io_uring,1,0:00.68,0.00,0.70,861764
io_uring cp,Copy io_uring,2,0:00.73,0.00,0.85,165320
io_uring cp,Copy io_uring,3,0:00.73,0.00,0.82,165220
io_uring cp,Copy io_uring,4,0:00.47,0.00,0.82,165404
io_uring cp,Copy io_uring,5,0:00.47,0.00,0.82,175572
io_uring cp,Copy io_uring,6,0:00.46,0.00,0.80,165376
io_uring cp,Copy io_uring,7,0:00.49,0.00,0.86,155088
io_uring cp,Copy io_uring,8,0:00.47,0.00,0.82,165224
